participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.participation_fee,session.config.name,clerpay_start.1.player.id_in_group,clerpay_start.1.player.role,clerpay_start.1.player.payoff,clerpay_start.1.group.id_in_subsession,clerpay_start.1.subsession.round_number,ego_consent.1.player.id_in_group,ego_consent.1.player.role,ego_consent.1.player.payoff,ego_consent.1.player.consent,ego_consent.1.group.id_in_subsession,ego_consent.1.subsession.round_number,ego_human.1.player.id_in_group,ego_human.1.player.role,ego_human.1.player.payoff,ego_human.1.player.treatment,ego_human.1.player.choice,ego_human.1.player.other_choice,ego_human.1.group.id_in_subsession,ego_human.1.subsession.round_number,ego_human.2.player.id_in_group,ego_human.2.player.role,ego_human.2.player.payoff,ego_human.2.player.treatment,ego_human.2.player.choice,ego_human.2.player.other_choice,ego_human.2.group.id_in_subsession,ego_human.2.subsession.round_number,ego_human.3.player.id_in_group,ego_human.3.player.role,ego_human.3.player.payoff,ego_human.3.player.treatment,ego_human.3.player.choice,ego_human.3.player.other_choice,ego_human.3.group.id_in_subsession,ego_human.3.subsession.round_number,ego_human.4.player.id_in_group,ego_human.4.player.role,ego_human.4.player.payoff,ego_human.4.player.treatment,ego_human.4.player.choice,ego_human.4.player.other_choice,ego_human.4.group.id_in_subsession,ego_human.4.subsession.round_number,ego_human.5.player.id_in_group,ego_human.5.player.role,ego_human.5.player.payoff,ego_human.5.player.treatment,ego_human.5.player.choice,ego_human.5.player.other_choice,ego_human.5.group.id_in_subsession,ego_human.5.subsession.round_number,ego_human.6.player.id_in_group,ego_human.6.player.role,ego_human.6.player.payoff,ego_human.6.player.treatment,ego_human.6.player.choice,ego_human.6.player.other_choice,ego_human.6.group.id_in_subsession,ego_human.6.subsession.round_number,ego_human.7.player.id_in_group,ego_human.7.player.role,ego_human.7.player.payoff,ego_human.7.player.treatment,ego_human.7.player.choice,ego_human.7.player.other_choice,ego_human.7.group.id_in_subsession,ego_human.7.subsession.round_number,ego_human.8.player.id_in_group,ego_human.8.player.role,ego_human.8.player.payoff,ego_human.8.player.treatment,ego_human.8.player.choice,ego_human.8.player.other_choice,ego_human.8.group.id_in_subsession,ego_human.8.subsession.round_number,ego_human.9.player.id_in_group,ego_human.9.player.role,ego_human.9.player.payoff,ego_human.9.player.treatment,ego_human.9.player.choice,ego_human.9.player.other_choice,ego_human.9.group.id_in_subsession,ego_human.9.subsession.round_number,ego_human.10.player.id_in_group,ego_human.10.player.role,ego_human.10.player.payoff,ego_human.10.player.treatment,ego_human.10.player.choice,ego_human.10.player.other_choice,ego_human.10.group.id_in_subsession,ego_human.10.subsession.round_number,clerpay_end.1.player.id_in_group,clerpay_end.1.player.role,clerpay_end.1.player.payoff,clerpay_end.1.player.ok,clerpay_end.1.player.code,clerpay_end.1.group.id_in_subsession,clerpay_end.1.subsession.round_number
1,xlnsl6aw,6DszS8,0,44,45,clerpay_end,Auszahlung,2023-08-11 08:00:07.499718,1,,,100.0,ddl128ng,,,,,0,0.02,1.0,ego_human,1,,0.0,1,1,1,,0.0,1,1,1,1,,28.0,4,2,1,1,1,1,,8.0,4,2,2,1,2,1,,8.0,4,2,2,1,3,1,,8.0,4,2,2,1,4,1,,8.0,4,2,2,1,5,1,,8.0,4,2,2,1,6,1,,8.0,4,2,2,1,7,1,,8.0,4,2,2,1,8,1,,8.0,4,2,2,1,9,1,,8.0,4,2,2,1,10,1,,0.0,1,,1,1
2,k83jce4a,t1jown,0,44,45,clerpay_end,Auszahlung,2023-08-11 08:01:12.452411,1,,,104.0,ddl128ng,,,,,0,0.02,1.0,ego_human,2,,0.0,1,1,2,,0.0,1,1,1,2,,20.0,4,1,1,1,1,2,,28.0,4,2,1,1,2,2,,8.0,4,2,2,1,3,2,,8.0,4,2,2,1,4,2,,8.0,4,2,2,1,5,2,,0.0,4,1,2,1,6,2,,8.0,4,2,2,1,7,2,,8.0,4,2,2,1,8,2,,8.0,4,2,2,1,9,2,,8.0,4,2,2,1,10,2,,0.0,1,,1,1
3,omdjid0g,6NcVYR,0,44,45,clerpay_end,Auszahlung,2023-08-11 08:01:15.629602,1,,,92.0,ddl128ng,,,,,0,0.02,1.0,ego_human,3,,0.0,1,1,3,,0.0,1,1,1,3,,28.0,1,2,1,1,1,3,,8.0,1,2,2,1,2,3,,8.0,1,2,2,1,3,3,,8.0,1,2,2,1,4,3,,0.0,1,1,2,1,5,3,,8.0,1,2,2,1,6,3,,8.0,1,2,2,1,7,3,,8.0,1,2,2,1,8,3,,8.0,1,2,2,1,9,3,,8.0,1,2,2,1,10,3,,0.0,1,,1,1
4,o7sd9yo6,jbOsZH,0,44,45,clerpay_end,Auszahlung,2023-08-11 08:02:37.026822,1,,,208.0,ddl128ng,,,,,0,0.02,1.0,ego_human,4,,0.0,1,1,4,,0.0,1,1,1,4,,20.0,3,1,1,1,1,4,,20.0,3,1,1,1,2,4,,20.0,3,1,1,1,3,4,,20.0,3,1,1,1,4,4,,20.0,3,1,1,1,5,4,,20.0,3,1,1,1,6,4,,20.0,3,1,1,1,7,4,,20.0,3,1,1,1,8,4,,20.0,3,1,1,1,9,4,,28.0,3,2,1,1,10,4,,0.0,1,,1,1
5,txf2uoit,1y4zVt,0,44,45,clerpay_end,Auszahlung,2023-08-11 08:02:46.142155,1,,,92.0,ddl128ng,,,,,0,0.02,1.0,ego_human,5,,0.0,1,1,5,,0.0,1,1,1,5,,20.0,4,1,1,1,1,5,,20.0,4,1,1,1,2,5,,28.0,4,2,1,1,3,5,,8.0,4,2,2,1,4,5,,0.0,4,1,2,1,5,5,,0.0,4,1,2,1,6,5,,8.0,4,2,2,1,7,5,,8.0,4,2,2,1,8,5,,0.0,4,1,2,1,9,5,,0.0,4,1,2,1,10,5,,0.0,1,,1,1
6,8lgfz62f,GD2qyJ,0,44,45,clerpay_end,Auszahlung,2023-08-11 08:03:52.999348,1,,,208.0,ddl128ng,,,,,0,0.02,1.0,ego_human,6,,0.0,1,1,6,,0.0,1,1,1,6,,20.0,1,1,1,1,1,6,,20.0,1,1,1,1,2,6,,20.0,1,1,1,1,3,6,,20.0,1,1,1,1,4,6,,20.0,1,1,1,1,5,6,,20.0,1,1,1,1,6,6,,20.0,1,1,1,1,7,6,,20.0,1,1,1,1,8,6,,20.0,1,1,1,1,9,6,,28.0,1,2,1,1,10,6,,0.0,1,,1,1
7,bery28wv,eI81SM,0,44,45,clerpay_end,Auszahlung,2023-08-11 08:03:58.469398,1,,,200.0,ddl128ng,,,,,0,0.02,1.0,ego_human,7,,0.0,1,1,7,,0.0,1,1,1,7,,20.0,4,1,1,1,1,7,,20.0,4,1,1,1,2,7,,20.0,4,1,1,1,3,7,,20.0,4,1,1,1,4,7,,20.0,4,1,1,1,5,7,,20.0,4,1,1,1,6,7,,20.0,4,1,1,1,7,7,,20.0,4,1,1,1,8,7,,20.0,4,1,1,1,9,7,,20.0,4,1,1,1,10,7,,0.0,1,,1,1
8,h3dxwsdu,xDRKyF,0,44,45,clerpay_end,Auszahlung,2023-08-11 08:04:08.531463,1,,,180.0,ddl128ng,,,,,0,0.02,1.0,ego_human,8,,0.0,1,1,8,,0.0,1,1,1,8,,28.0,3,2,1,1,1,8,,8.0,3,2,2,1,2,8,,28.0,3,2,1,1,3,8,,8.0,3,2,2,1,4,8,,28.0,3,2,1,1,5,8,,8.0,3,2,2,1,6,8,,28.0,3,2,1,1,7,8,,8.0,3,2,2,1,8,8,,28.0,3,2,1,1,9,8,,8.0,3,2,2,1,10,8,,0.0,1,,1,1
9,aswi2y0u,gT9Opx,0,44,45,clerpay_end,Auszahlung,2023-08-11 08:04:36.527648,1,,,208.0,ddl128ng,,,,,0,0.02,1.0,ego_human,9,,0.0,1,1,9,,0.0,1,1,1,9,,20.0,1,1,1,1,1,9,,20.0,1,1,1,1,2,9,,20.0,1,1,1,1,3,9,,20.0,1,1,1,1,4,9,,20.0,1,1,1,1,5,9,,20.0,1,1,1,1,6,9,,20.0,1,1,1,1,7,9,,20.0,1,1,1,1,8,9,,20.0,1,1,1,1,9,9,,28.0,1,2,1,1,10,9,,0.0,1,,1,1
10,2de8ecrb,VAOqut,0,44,45,clerpay_end,Auszahlung,2023-08-11 08:05:44.563996,1,,,88.0,ddl128ng,,,,,0,0.02,1.0,ego_human,10,,0.0,1,1,10,,0.0,1,1,1,10,,20.0,1,1,1,1,1,10,,28.0,1,2,1,1,2,10,,8.0,1,2,2,1,3,10,,8.0,1,2,2,1,4,10,,0.0,1,1,2,1,5,10,,0.0,1,1,2,1,6,10,,0.0,1,1,2,1,7,10,,8.0,1,2,2,1,8,10,,8.0,1,2,2,1,9,10,,8.0,1,2,2,1,10,10,,0.0,1,,1,1
