participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.name,session.config.real_world_currency_per_point,clerpay_start.1.player.id_in_group,clerpay_start.1.player.role,clerpay_start.1.player.payoff,clerpay_start.1.group.id_in_subsession,clerpay_start.1.subsession.round_number,ego_consent.1.player.id_in_group,ego_consent.1.player.role,ego_consent.1.player.payoff,ego_consent.1.player.consent,ego_consent.1.group.id_in_subsession,ego_consent.1.subsession.round_number,ego_human.1.player.id_in_group,ego_human.1.player.role,ego_human.1.player.payoff,ego_human.1.player.llm_id,ego_human.1.player.treatment,ego_human.1.player.choice,ego_human.1.player.other_choice,ego_human.1.group.id_in_subsession,ego_human.1.subsession.round_number,ego_human.2.player.id_in_group,ego_human.2.player.role,ego_human.2.player.payoff,ego_human.2.player.llm_id,ego_human.2.player.treatment,ego_human.2.player.choice,ego_human.2.player.other_choice,ego_human.2.group.id_in_subsession,ego_human.2.subsession.round_number,ego_human.3.player.id_in_group,ego_human.3.player.role,ego_human.3.player.payoff,ego_human.3.player.llm_id,ego_human.3.player.treatment,ego_human.3.player.choice,ego_human.3.player.other_choice,ego_human.3.group.id_in_subsession,ego_human.3.subsession.round_number,ego_human.4.player.id_in_group,ego_human.4.player.role,ego_human.4.player.payoff,ego_human.4.player.llm_id,ego_human.4.player.treatment,ego_human.4.player.choice,ego_human.4.player.other_choice,ego_human.4.group.id_in_subsession,ego_human.4.subsession.round_number,ego_human.5.player.id_in_group,ego_human.5.player.role,ego_human.5.player.payoff,ego_human.5.player.llm_id,ego_human.5.player.treatment,ego_human.5.player.choice,ego_human.5.player.other_choice,ego_human.5.group.id_in_subsession,ego_human.5.subsession.round_number,ego_human.6.player.id_in_group,ego_human.6.player.role,ego_human.6.player.payoff,ego_human.6.player.llm_id,ego_human.6.player.treatment,ego_human.6.player.choice,ego_human.6.player.other_choice,ego_human.6.group.id_in_subsession,ego_human.6.subsession.round_number,ego_human.7.player.id_in_group,ego_human.7.player.role,ego_human.7.player.payoff,ego_human.7.player.llm_id,ego_human.7.player.treatment,ego_human.7.player.choice,ego_human.7.player.other_choice,ego_human.7.group.id_in_subsession,ego_human.7.subsession.round_number,ego_human.8.player.id_in_group,ego_human.8.player.role,ego_human.8.player.payoff,ego_human.8.player.llm_id,ego_human.8.player.treatment,ego_human.8.player.choice,ego_human.8.player.other_choice,ego_human.8.group.id_in_subsession,ego_human.8.subsession.round_number,ego_human.9.player.id_in_group,ego_human.9.player.role,ego_human.9.player.payoff,ego_human.9.player.llm_id,ego_human.9.player.treatment,ego_human.9.player.choice,ego_human.9.player.other_choice,ego_human.9.group.id_in_subsession,ego_human.9.subsession.round_number,ego_human.10.player.id_in_group,ego_human.10.player.role,ego_human.10.player.payoff,ego_human.10.player.llm_id,ego_human.10.player.treatment,ego_human.10.player.choice,ego_human.10.player.other_choice,ego_human.10.group.id_in_subsession,ego_human.10.subsession.round_number,clerpay_end.1.player.id_in_group,clerpay_end.1.player.role,clerpay_end.1.player.payoff,clerpay_end.1.player.ok,clerpay_end.1.player.code,clerpay_end.1.group.id_in_subsession,clerpay_end.1.subsession.round_number
1,jhc0vgbr,xOVPZ5,0,44,45,clerpay_end,Auszahlung,2023-08-15 07:49:27.956715,1,,,152.0,7109kxxy,,,,,0,1.0,ego_human,0.02,1,,0.0,1,1,1,,0.0,1,1,1,1,,28.0,4d78d248-ef0f-4c64-bd2b-881cfdf80c57,1,2,1,1,1,1,,8.0,,1,2,2,1,2,1,,8.0,,1,2,2,1,3,1,,0.0,,1,1,2,1,4,1,,0.0,,1,1,2,1,5,1,,20.0,,1,1,1,1,6,1,,20.0,,1,1,1,1,7,1,,20.0,,1,1,1,1,8,1,,20.0,,1,1,1,1,9,1,,28.0,,1,2,1,1,10,1,,0.0,1,,1,1
2,6v1qjpl3,trw2QO,0,44,45,clerpay_end,Auszahlung,2023-08-15 08:00:44.092304,1,,,112.0,7109kxxy,,,,,0,1.0,ego_human,0.02,2,,0.0,1,1,2,,0.0,1,1,1,2,,20.0,18c7822c-72e3-4517-9999-b18d925d630f,3,1,1,1,1,2,,20.0,,3,1,1,1,2,2,,28.0,,3,2,1,1,3,2,,8.0,,3,2,2,1,4,2,,28.0,,3,2,1,1,5,2,,0.0,,3,1,2,1,6,2,,0.0,,3,1,2,1,7,2,,8.0,,3,2,2,1,8,2,,0.0,,3,1,2,1,9,2,,0.0,,3,1,2,1,10,2,,0.0,1,,1,1
3,oikzojpw,fbBCdM,0,44,45,clerpay_end,Auszahlung,2023-08-15 08:02:10.654080,1,,,196.0,7109kxxy,,,,,0,1.0,ego_human,0.02,3,,0.0,1,1,3,,0.0,1,1,1,3,,20.0,7dda1569-3cc3-4e50-a4c8-5becffa9f293,3,1,1,1,1,3,,20.0,,3,1,1,1,2,3,,20.0,,3,1,1,1,3,3,,20.0,,3,1,1,1,4,3,,20.0,,3,1,1,1,5,3,,20.0,,3,1,1,1,6,3,,20.0,,3,1,1,1,7,3,,20.0,,3,1,1,1,8,3,,28.0,,3,2,1,1,9,3,,8.0,,3,2,2,1,10,3,,0.0,1,,1,1
4,woayop5x,aSOQ0w,0,44,45,clerpay_end,Auszahlung,2023-08-15 08:02:49.846277,1,,,120.0,7109kxxy,,,,,0,1.0,ego_human,0.02,4,,0.0,1,1,4,,0.0,1,1,1,4,,28.0,2eb4b423-6487-456b-8793-18c15393e184,4,2,1,1,1,4,,8.0,,4,2,2,1,2,4,,8.0,,4,2,2,1,3,4,,28.0,,4,2,1,1,4,4,,8.0,,4,2,2,1,5,4,,8.0,,4,2,2,1,6,4,,8.0,,4,2,2,1,7,4,,8.0,,4,2,2,1,8,4,,8.0,,4,2,2,1,9,4,,8.0,,4,2,2,1,10,4,,0.0,1,,1,1
5,6cn6s4p8,t1DoGQ,0,44,45,clerpay_end,Auszahlung,2023-08-15 08:04:34.686732,1,,,120.0,7109kxxy,,,,,0,1.0,ego_human,0.02,5,,0.0,1,1,5,,0.0,1,1,1,5,,28.0,ef040170-390e-40c7-9e47-94652c6badfa,4,2,1,1,1,5,,8.0,,4,2,2,1,2,5,,28.0,,4,2,1,1,3,5,,8.0,,4,2,2,1,4,5,,8.0,,4,2,2,1,5,5,,8.0,,4,2,2,1,6,5,,8.0,,4,2,2,1,7,5,,8.0,,4,2,2,1,8,5,,8.0,,4,2,2,1,9,5,,8.0,,4,2,2,1,10,5,,0.0,1,,1,1
6,1n2d16qz,WAwEB1,0,44,45,clerpay_end,Auszahlung,2023-08-15 08:05:00.897900,1,,,208.0,7109kxxy,,,,,0,1.0,ego_human,0.02,6,,0.0,1,1,6,,0.0,1,1,1,6,,20.0,fc46afdf-8fca-4504-9ef5-897e859f2007,3,1,1,1,1,6,,20.0,,3,1,1,1,2,6,,20.0,,3,1,1,1,3,6,,20.0,,3,1,1,1,4,6,,20.0,,3,1,1,1,5,6,,20.0,,3,1,1,1,6,6,,20.0,,3,1,1,1,7,6,,20.0,,3,1,1,1,8,6,,20.0,,3,1,1,1,9,6,,28.0,,3,2,1,1,10,6,,0.0,1,,1,1
7,45goed1z,Wysqo8,0,44,45,clerpay_end,Auszahlung,2023-08-15 08:05:42.363408,1,,,100.0,7109kxxy,,,,,0,1.0,ego_human,0.02,7,,0.0,1,1,7,,0.0,1,1,1,7,,28.0,50eecbbd-c10a-43ab-8f55-900c67c34552,1,2,1,1,1,7,,8.0,,1,2,2,1,2,7,,8.0,,1,2,2,1,3,7,,8.0,,1,2,2,1,4,7,,8.0,,1,2,2,1,5,7,,8.0,,1,2,2,1,6,7,,8.0,,1,2,2,1,7,7,,8.0,,1,2,2,1,8,7,,8.0,,1,2,2,1,9,7,,8.0,,1,2,2,1,10,7,,0.0,1,,1,1
8,2dbrwqek,ozTvX3,0,44,45,clerpay_end,Auszahlung,2023-08-15 08:06:23.279055,1,,,84.0,7109kxxy,,,,,0,1.0,ego_human,0.02,8,,0.0,1,1,8,,0.0,1,1,1,8,,28.0,3e290b11-1ef6-4315-b7db-db4e491f2384,1,2,1,1,1,8,,8.0,,1,2,2,1,2,8,,8.0,,1,2,2,1,3,8,,0.0,,1,1,2,1,4,8,,0.0,,1,1,2,1,5,8,,8.0,,1,2,2,1,6,8,,8.0,,1,2,2,1,7,8,,8.0,,1,2,2,1,8,8,,8.0,,1,2,2,1,9,8,,8.0,,1,2,2,1,10,8,,0.0,1,,1,1
9,02gv6dex,ZR0Mgq,0,44,45,clerpay_end,Auszahlung,2023-08-15 08:11:14.044049,1,,,104.0,7109kxxy,,,,,0,1.0,ego_human,0.02,9,,0.0,1,1,9,,0.0,1,1,1,9,,20.0,05edb22d-2347-425b-b3d7-c4690d0ee1e5,4,1,1,1,1,9,,20.0,,4,1,1,1,2,9,,20.0,,4,1,1,1,3,9,,28.0,,4,2,1,1,4,9,,0.0,,4,1,2,1,5,9,,8.0,,4,2,2,1,6,9,,0.0,,4,1,2,1,7,9,,0.0,,4,1,2,1,8,9,,0.0,,4,1,2,1,9,9,,8.0,,4,2,2,1,10,9,,0.0,1,,1,1
10,v4l3dpyo,iTDSHu,0,44,45,clerpay_end,Auszahlung,2023-08-15 08:19:05.413372,1,,,84.0,7109kxxy,,,,,0,1.0,ego_human,0.02,10,,0.0,1,1,10,,0.0,1,1,1,10,,28.0,af80643d-04dd-4410-adf4-57f21ab429d0,1,2,1,1,1,10,,0.0,,1,1,2,1,2,10,,8.0,,1,2,2,1,3,10,,8.0,,1,2,2,1,4,10,,8.0,,1,2,2,1,5,10,,8.0,,1,2,2,1,6,10,,0.0,,1,1,2,1,7,10,,8.0,,1,2,2,1,8,10,,8.0,,1,2,2,1,9,10,,8.0,,1,2,2,1,10,10,,0.0,1,,1,1
