participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.real_world_currency_per_point,session.config.participation_fee,clerpay_start.1.player.id_in_group,clerpay_start.1.player.role,clerpay_start.1.player.payoff,clerpay_start.1.group.id_in_subsession,clerpay_start.1.subsession.round_number,ego_consent.1.player.id_in_group,ego_consent.1.player.role,ego_consent.1.player.payoff,ego_consent.1.player.consent,ego_consent.1.group.id_in_subsession,ego_consent.1.subsession.round_number,ego_human.1.player.id_in_group,ego_human.1.player.role,ego_human.1.player.payoff,ego_human.1.player.llm_id,ego_human.1.player.treatment,ego_human.1.player.choice,ego_human.1.player.other_choice,ego_human.1.group.id_in_subsession,ego_human.1.subsession.round_number,ego_human.2.player.id_in_group,ego_human.2.player.role,ego_human.2.player.payoff,ego_human.2.player.llm_id,ego_human.2.player.treatment,ego_human.2.player.choice,ego_human.2.player.other_choice,ego_human.2.group.id_in_subsession,ego_human.2.subsession.round_number,ego_human.3.player.id_in_group,ego_human.3.player.role,ego_human.3.player.payoff,ego_human.3.player.llm_id,ego_human.3.player.treatment,ego_human.3.player.choice,ego_human.3.player.other_choice,ego_human.3.group.id_in_subsession,ego_human.3.subsession.round_number,ego_human.4.player.id_in_group,ego_human.4.player.role,ego_human.4.player.payoff,ego_human.4.player.llm_id,ego_human.4.player.treatment,ego_human.4.player.choice,ego_human.4.player.other_choice,ego_human.4.group.id_in_subsession,ego_human.4.subsession.round_number,ego_human.5.player.id_in_group,ego_human.5.player.role,ego_human.5.player.payoff,ego_human.5.player.llm_id,ego_human.5.player.treatment,ego_human.5.player.choice,ego_human.5.player.other_choice,ego_human.5.group.id_in_subsession,ego_human.5.subsession.round_number,ego_human.6.player.id_in_group,ego_human.6.player.role,ego_human.6.player.payoff,ego_human.6.player.llm_id,ego_human.6.player.treatment,ego_human.6.player.choice,ego_human.6.player.other_choice,ego_human.6.group.id_in_subsession,ego_human.6.subsession.round_number,ego_human.7.player.id_in_group,ego_human.7.player.role,ego_human.7.player.payoff,ego_human.7.player.llm_id,ego_human.7.player.treatment,ego_human.7.player.choice,ego_human.7.player.other_choice,ego_human.7.group.id_in_subsession,ego_human.7.subsession.round_number,ego_human.8.player.id_in_group,ego_human.8.player.role,ego_human.8.player.payoff,ego_human.8.player.llm_id,ego_human.8.player.treatment,ego_human.8.player.choice,ego_human.8.player.other_choice,ego_human.8.group.id_in_subsession,ego_human.8.subsession.round_number,ego_human.9.player.id_in_group,ego_human.9.player.role,ego_human.9.player.payoff,ego_human.9.player.llm_id,ego_human.9.player.treatment,ego_human.9.player.choice,ego_human.9.player.other_choice,ego_human.9.group.id_in_subsession,ego_human.9.subsession.round_number,ego_human.10.player.id_in_group,ego_human.10.player.role,ego_human.10.player.payoff,ego_human.10.player.llm_id,ego_human.10.player.treatment,ego_human.10.player.choice,ego_human.10.player.other_choice,ego_human.10.group.id_in_subsession,ego_human.10.subsession.round_number,clerpay_end.1.player.id_in_group,clerpay_end.1.player.role,clerpay_end.1.player.payoff,clerpay_end.1.player.ok,clerpay_end.1.player.code,clerpay_end.1.group.id_in_subsession,clerpay_end.1.subsession.round_number
1,suqh8g7i,blMPhk,0,44,45,clerpay_end,Auszahlung,2023-08-16 08:00:08.744142,1,,,84.0,xshkqqd7,,,,,0,ego_human,0.02,1.0,1,,0.0,1,1,1,,0.0,1,1,1,1,,28.0,4fc73e75-c257-44c6-a9c4-7efc5804a938,4,2,1,1,1,1,,8.0,,4,2,2,1,2,1,,0.0,,4,1,2,1,3,1,,8.0,,4,2,2,1,4,1,,0.0,,4,1,2,1,5,1,,8.0,,4,2,2,1,6,1,,8.0,,4,2,2,1,7,1,,8.0,,4,2,2,1,8,1,,8.0,,4,2,2,1,9,1,,8.0,,4,2,2,1,10,1,,0.0,1,,1,1
2,ke6cdser,WyeTFY,0,2,45,ego_consent,Consent,2023-08-16 08:00:08.787920,1,,,0.0,xshkqqd7,,,,,0,ego_human,0.02,1.0,2,,0.0,1,1,2,,0.0,0,1,1,2,,0.0,7ca393cb-3fec-4885-9785-c5f17d922d49,3,-1,,1,1,2,,0.0,,3,-1,,1,2,2,,0.0,,3,-1,,1,3,2,,0.0,,3,-1,,1,4,2,,0.0,,3,-1,,1,5,2,,0.0,,3,-1,,1,6,2,,0.0,,3,-1,,1,7,2,,0.0,,3,-1,,1,8,2,,0.0,,3,-1,,1,9,2,,0.0,,3,-1,,1,10,2,,0.0,0,,1,1
3,solzlebb,oG1UJH,0,44,45,clerpay_end,Auszahlung,2023-08-16 08:00:09.598635,1,,,184.0,xshkqqd7,,,,,0,ego_human,0.02,1.0,3,,0.0,1,1,3,,0.0,1,1,1,3,,20.0,099efc78-83c0-4d18-a831-b21d3aee5425,3,1,1,1,1,3,,20.0,,3,1,1,1,2,3,,20.0,,3,1,1,1,3,3,,20.0,,3,1,1,1,4,3,,20.0,,3,1,1,1,5,3,,20.0,,3,1,1,1,6,3,,20.0,,3,1,1,1,7,3,,28.0,,3,2,1,1,8,3,,8.0,,3,2,2,1,9,3,,8.0,,3,2,2,1,10,3,,0.0,1,,1,1
4,9f4c0jm6,qT0kcB,0,44,45,clerpay_end,Auszahlung,2023-08-16 08:00:11.674655,1,,,200.0,xshkqqd7,,,,,0,ego_human,0.02,1.0,4,,0.0,1,1,4,,0.0,1,1,1,4,,20.0,35f6ab7c-2673-4f35-925e-9211f19b14be,3,1,1,1,1,4,,20.0,,3,1,1,1,2,4,,20.0,,3,1,1,1,3,4,,20.0,,3,1,1,1,4,4,,20.0,,3,1,1,1,5,4,,20.0,,3,1,1,1,6,4,,20.0,,3,1,1,1,7,4,,20.0,,3,1,1,1,8,4,,20.0,,3,1,1,1,9,4,,20.0,,3,1,1,1,10,4,,0.0,1,,1,1
5,14elowp5,wOWf7J,0,44,45,clerpay_end,Auszahlung,2023-08-16 08:00:25.608224,1,,,196.0,xshkqqd7,,,,,0,ego_human,0.02,1.0,5,,0.0,1,1,5,,0.0,1,1,1,5,,28.0,b1d48c76-051e-4b20-8851-1d063ce89f5f,3,2,1,1,1,5,,8.0,,3,2,2,1,2,5,,20.0,,3,1,1,1,3,5,,20.0,,3,1,1,1,4,5,,28.0,,3,2,1,1,5,5,,8.0,,3,2,2,1,6,5,,28.0,,3,2,1,1,7,5,,8.0,,3,2,2,1,8,5,,20.0,,3,1,1,1,9,5,,28.0,,3,2,1,1,10,5,,0.0,1,,1,1
6,xxahimjb,9isVL9,0,44,45,clerpay_end,Auszahlung,2023-08-16 08:00:42.932154,1,,,180.0,xshkqqd7,,,,,0,ego_human,0.02,1.0,6,,0.0,1,1,6,,0.0,1,1,1,6,,28.0,2db3b80b-74bf-4c80-84b7-2b942001f389,3,2,1,1,1,6,,8.0,,3,2,2,1,2,6,,28.0,,3,2,1,1,3,6,,8.0,,3,2,2,1,4,6,,28.0,,3,2,1,1,5,6,,8.0,,3,2,2,1,6,6,,28.0,,3,2,1,1,7,6,,8.0,,3,2,2,1,8,6,,28.0,,3,2,1,1,9,6,,8.0,,3,2,2,1,10,6,,0.0,1,,1,1
7,91cmyik3,ZLYKri,0,44,45,clerpay_end,Auszahlung,2023-08-16 08:00:56.144709,1,,,208.0,xshkqqd7,,,,,0,ego_human,0.02,1.0,7,,0.0,1,1,7,,0.0,1,1,1,7,,20.0,c30c3965-86b0-46c5-83cb-bc1a67496310,3,1,1,1,1,7,,20.0,,3,1,1,1,2,7,,20.0,,3,1,1,1,3,7,,20.0,,3,1,1,1,4,7,,20.0,,3,1,1,1,5,7,,20.0,,3,1,1,1,6,7,,20.0,,3,1,1,1,7,7,,20.0,,3,1,1,1,8,7,,20.0,,3,1,1,1,9,7,,28.0,,3,2,1,1,10,7,,0.0,1,,1,1
8,gvjeng68,aREOAE,0,44,45,clerpay_end,Auszahlung,2023-08-16 08:01:02.108440,1,,,200.0,xshkqqd7,,,,,0,ego_human,0.02,1.0,8,,0.0,1,1,8,,0.0,1,1,1,8,,20.0,3f0954a2-8545-4b32-95bb-ce2207671141,3,1,1,1,1,8,,20.0,,3,1,1,1,2,8,,20.0,,3,1,1,1,3,8,,20.0,,3,1,1,1,4,8,,20.0,,3,1,1,1,5,8,,20.0,,3,1,1,1,6,8,,20.0,,3,1,1,1,7,8,,20.0,,3,1,1,1,8,8,,20.0,,3,1,1,1,9,8,,20.0,,3,1,1,1,10,8,,0.0,1,,1,1
9,710ib3qj,nwJ8sm,0,44,45,clerpay_end,Auszahlung,2023-08-16 08:01:14.970319,1,,,132.0,xshkqqd7,,,,,0,ego_human,0.02,1.0,9,,0.0,1,1,9,,0.0,1,1,1,9,,20.0,496a8b34-8b75-47fb-bcde-99d530c1aebe,4,1,1,1,1,9,,20.0,,4,1,1,1,2,9,,20.0,,4,1,1,1,3,9,,20.0,,4,1,1,1,4,9,,28.0,,4,2,1,1,5,9,,0.0,,4,1,2,1,6,9,,0.0,,4,1,2,1,7,9,,8.0,,4,2,2,1,8,9,,8.0,,4,2,2,1,9,9,,8.0,,4,2,2,1,10,9,,0.0,1,,1,1
10,v81u0ljz,Eorn3N,0,44,45,clerpay_end,Auszahlung,2023-08-16 08:01:22.869525,1,,,144.0,xshkqqd7,,,,,0,ego_human,0.02,1.0,10,,0.0,1,1,10,,0.0,1,1,1,10,,28.0,ad6983de-b158-4c71-9bc2-3a7da75ec20b,4,2,1,1,1,10,,8.0,,4,2,2,1,2,10,,28.0,,4,2,1,1,3,10,,0.0,,4,1,2,1,4,10,,8.0,,4,2,2,1,5,10,,28.0,,4,2,1,1,6,10,,0.0,,4,1,2,1,7,10,,8.0,,4,2,2,1,8,10,,28.0,,4,2,1,1,9,10,,8.0,,4,2,2,1,10,10,,0.0,1,,1,1
