participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.participation_fee,session.config.real_world_currency_per_point,clerpay_start.1.player.id_in_group,clerpay_start.1.player.role,clerpay_start.1.player.payoff,clerpay_start.1.group.id_in_subsession,clerpay_start.1.subsession.round_number,ego_consent.1.player.id_in_group,ego_consent.1.player.role,ego_consent.1.player.payoff,ego_consent.1.player.consent,ego_consent.1.group.id_in_subsession,ego_consent.1.subsession.round_number,ego_human.1.player.id_in_group,ego_human.1.player.role,ego_human.1.player.payoff,ego_human.1.player.llm_id,ego_human.1.player.treatment,ego_human.1.player.choice,ego_human.1.player.other_choice,ego_human.1.group.id_in_subsession,ego_human.1.subsession.round_number,ego_human.2.player.id_in_group,ego_human.2.player.role,ego_human.2.player.payoff,ego_human.2.player.llm_id,ego_human.2.player.treatment,ego_human.2.player.choice,ego_human.2.player.other_choice,ego_human.2.group.id_in_subsession,ego_human.2.subsession.round_number,ego_human.3.player.id_in_group,ego_human.3.player.role,ego_human.3.player.payoff,ego_human.3.player.llm_id,ego_human.3.player.treatment,ego_human.3.player.choice,ego_human.3.player.other_choice,ego_human.3.group.id_in_subsession,ego_human.3.subsession.round_number,ego_human.4.player.id_in_group,ego_human.4.player.role,ego_human.4.player.payoff,ego_human.4.player.llm_id,ego_human.4.player.treatment,ego_human.4.player.choice,ego_human.4.player.other_choice,ego_human.4.group.id_in_subsession,ego_human.4.subsession.round_number,ego_human.5.player.id_in_group,ego_human.5.player.role,ego_human.5.player.payoff,ego_human.5.player.llm_id,ego_human.5.player.treatment,ego_human.5.player.choice,ego_human.5.player.other_choice,ego_human.5.group.id_in_subsession,ego_human.5.subsession.round_number,ego_human.6.player.id_in_group,ego_human.6.player.role,ego_human.6.player.payoff,ego_human.6.player.llm_id,ego_human.6.player.treatment,ego_human.6.player.choice,ego_human.6.player.other_choice,ego_human.6.group.id_in_subsession,ego_human.6.subsession.round_number,ego_human.7.player.id_in_group,ego_human.7.player.role,ego_human.7.player.payoff,ego_human.7.player.llm_id,ego_human.7.player.treatment,ego_human.7.player.choice,ego_human.7.player.other_choice,ego_human.7.group.id_in_subsession,ego_human.7.subsession.round_number,ego_human.8.player.id_in_group,ego_human.8.player.role,ego_human.8.player.payoff,ego_human.8.player.llm_id,ego_human.8.player.treatment,ego_human.8.player.choice,ego_human.8.player.other_choice,ego_human.8.group.id_in_subsession,ego_human.8.subsession.round_number,ego_human.9.player.id_in_group,ego_human.9.player.role,ego_human.9.player.payoff,ego_human.9.player.llm_id,ego_human.9.player.treatment,ego_human.9.player.choice,ego_human.9.player.other_choice,ego_human.9.group.id_in_subsession,ego_human.9.subsession.round_number,ego_human.10.player.id_in_group,ego_human.10.player.role,ego_human.10.player.payoff,ego_human.10.player.llm_id,ego_human.10.player.treatment,ego_human.10.player.choice,ego_human.10.player.other_choice,ego_human.10.group.id_in_subsession,ego_human.10.subsession.round_number,clerpay_end.1.player.id_in_group,clerpay_end.1.player.role,clerpay_end.1.player.payoff,clerpay_end.1.player.ok,clerpay_end.1.player.code,clerpay_end.1.group.id_in_subsession,clerpay_end.1.subsession.round_number,abweisung.1.player.id_in_group,abweisung.1.player.role,abweisung.1.player.payoff,abweisung.1.player.pw,abweisung.1.group.id_in_subsession,abweisung.1.subsession.round_number
1,9rr6qos1,eec7X7,0,44,45,clerpay_end,Auszahlung,2023-08-17 07:55:51.704533,1,,,200.0,q8emsvyp,,,,,0,ego_human,1.0,0.02,1,,0.0,1,1,1,,0.0,1,1,1,1,,20.0,8a7bf7be-f0e3-4528-b43f-fc52b81159b3,1,1,1,1,1,1,,20.0,,1,1,1,1,2,1,,20.0,,1,1,1,1,3,1,,20.0,,1,1,1,1,4,1,,20.0,,1,1,1,1,5,1,,20.0,,1,1,1,1,6,1,,20.0,,1,1,1,1,7,1,,20.0,,1,1,1,1,8,1,,20.0,,1,1,1,1,9,1,,20.0,,1,1,1,1,10,1,,0.0,1,,1,1,,,,,,
2,jx3dcmcg,mCLUJF,0,44,45,clerpay_end,Auszahlung,2023-08-17 07:58:44.544211,1,,,208.0,q8emsvyp,,,,,0,ego_human,1.0,0.02,2,,0.0,1,1,2,,0.0,1,1,1,2,,20.0,a89c0045-0dc4-4f3f-afe0-39576fdf9236,4,1,1,1,1,2,,20.0,,4,1,1,1,2,2,,20.0,,4,1,1,1,3,2,,20.0,,4,1,1,1,4,2,,20.0,,4,1,1,1,5,2,,20.0,,4,1,1,1,6,2,,20.0,,4,1,1,1,7,2,,20.0,,4,1,1,1,8,2,,20.0,,4,1,1,1,9,2,,28.0,,4,2,1,1,10,2,,0.0,1,,1,1,,,,,,
3,rzalhjvx,9hQX71,0,44,45,clerpay_end,Auszahlung,2023-08-17 08:00:07.787825,1,,,144.0,q8emsvyp,,,,,0,ego_human,1.0,0.02,3,,0.0,1,1,3,,0.0,1,1,1,3,,20.0,73be068a-cbd4-41fd-9f68-0e3bdb1cd9e3,1,1,1,1,1,3,,20.0,,1,1,1,1,2,3,,20.0,,1,1,1,1,3,3,,20.0,,1,1,1,1,4,3,,20.0,,1,1,1,1,5,3,,28.0,,1,2,1,1,6,3,,0.0,,1,1,2,1,7,3,,0.0,,1,1,2,1,8,3,,8.0,,1,2,2,1,9,3,,8.0,,1,2,2,1,10,3,,0.0,1,,1,1,,,,,,
4,j4phiz60,bZICmF,0,44,45,clerpay_end,Auszahlung,2023-08-17 08:00:17.250157,1,,,200.0,q8emsvyp,,,,,0,ego_human,1.0,0.02,4,,0.0,1,1,4,,0.0,1,1,1,4,,20.0,fbd03497-cb7b-4897-85ac-5ac5fca00844,1,1,1,1,1,4,,20.0,,1,1,1,1,2,4,,20.0,,1,1,1,1,3,4,,20.0,,1,1,1,1,4,4,,20.0,,1,1,1,1,5,4,,20.0,,1,1,1,1,6,4,,20.0,,1,1,1,1,7,4,,20.0,,1,1,1,1,8,4,,20.0,,1,1,1,1,9,4,,20.0,,1,1,1,1,10,4,,0.0,1,,1,1,,,,,,
5,aycw0k59,ezU4eM,0,44,45,clerpay_end,Auszahlung,2023-08-17 08:00:17.983319,1,,,184.0,q8emsvyp,,,,,0,ego_human,1.0,0.02,5,,0.0,1,1,5,,0.0,1,1,1,5,,28.0,ad25695d-e73b-425a-a9ae-4a63e0a09539,3,2,1,1,1,5,,8.0,,3,2,2,1,2,5,,28.0,,3,2,1,1,3,5,,8.0,,3,2,2,1,4,5,,28.0,,3,2,1,1,5,5,,8.0,,3,2,2,1,6,5,,28.0,,3,2,1,1,7,5,,8.0,,3,2,2,1,8,5,,20.0,,3,1,1,1,9,5,,20.0,,3,1,1,1,10,5,,0.0,1,,1,1,,,,,,
6,ub2jib07,5YaO0E,0,44,45,clerpay_end,Auszahlung,2023-08-17 08:00:33.056082,1,,,76.0,q8emsvyp,,,,,0,ego_human,1.0,0.02,6,,0.0,1,1,6,,0.0,1,1,1,6,,28.0,aef1fbd6-d0a2-4430-a7b4-b034514a9b24,4,2,1,1,1,6,,8.0,,4,2,2,1,2,6,,8.0,,4,2,2,1,3,6,,8.0,,4,2,2,1,4,6,,0.0,,4,1,2,1,5,6,,8.0,,4,2,2,1,6,6,,8.0,,4,2,2,1,7,6,,0.0,,4,1,2,1,8,6,,0.0,,4,1,2,1,9,6,,8.0,,4,2,2,1,10,6,,0.0,1,,1,1,,,,,,
7,m5vi0wfz,QQoWsh,0,44,45,clerpay_end,Auszahlung,2023-08-17 08:00:34.972784,1,,,116.0,q8emsvyp,,,,,0,ego_human,1.0,0.02,7,,0.0,1,1,7,,0.0,1,1,1,7,,20.0,cf46cd2d-4397-46a7-8bb6-60a5fb5b6fda,4,1,1,1,1,7,,20.0,,4,1,1,1,2,7,,28.0,,4,2,1,1,3,7,,8.0,,4,2,2,1,4,7,,8.0,,4,2,2,1,5,7,,8.0,,4,2,2,1,6,7,,0.0,,4,1,2,1,7,7,,8.0,,4,2,2,1,8,7,,8.0,,4,2,2,1,9,7,,8.0,,4,2,2,1,10,7,,0.0,1,,1,1,,,,,,
8,lgnl0ven,tgWpCr,0,44,45,clerpay_end,Auszahlung,2023-08-17 08:00:52.404548,1,,,208.0,q8emsvyp,,,,,0,ego_human,1.0,0.02,8,,0.0,1,1,8,,0.0,1,1,1,8,,20.0,6b1c1e7e-0195-48d4-acd2-9dddc60b3a1f,4,1,1,1,1,8,,20.0,,4,1,1,1,2,8,,20.0,,4,1,1,1,3,8,,20.0,,4,1,1,1,4,8,,20.0,,4,1,1,1,5,8,,20.0,,4,1,1,1,6,8,,20.0,,4,1,1,1,7,8,,20.0,,4,1,1,1,8,8,,20.0,,4,1,1,1,9,8,,28.0,,4,2,1,1,10,8,,0.0,1,,1,1,,,,,,
9,ks4t3sb5,GbjzHc,0,44,45,clerpay_end,Auszahlung,2023-08-17 08:01:47.028442,1,,,76.0,q8emsvyp,,,,,0,ego_human,1.0,0.02,9,,0.0,1,1,9,,0.0,1,1,1,9,,28.0,ac521185-403f-4228-9cb7-fa9eeb70d173,1,2,1,1,1,9,,0.0,,1,1,2,1,2,9,,0.0,,1,1,2,1,3,9,,8.0,,1,2,2,1,4,9,,8.0,,1,2,2,1,5,9,,8.0,,1,2,2,1,6,9,,8.0,,1,2,2,1,7,9,,8.0,,1,2,2,1,8,9,,0.0,,1,1,2,1,9,9,,8.0,,1,2,2,1,10,9,,0.0,1,,1,1,,,,,,
10,k89zmu2s,Xt7qw2,0,44,45,clerpay_end,Auszahlung,2023-08-17 08:02:10.445127,1,,,76.0,q8emsvyp,,,,,0,ego_human,1.0,0.02,10,,0.0,1,1,10,,0.0,1,1,1,10,,28.0,3c263608-df21-475a-9be7-5dbf54eb2a57,4,2,1,1,1,10,,0.0,,4,1,2,1,2,10,,0.0,,4,1,2,1,3,10,,0.0,,4,1,2,1,4,10,,8.0,,4,2,2,1,5,10,,8.0,,4,2,2,1,6,10,,8.0,,4,2,2,1,7,10,,8.0,,4,2,2,1,8,10,,8.0,,4,2,2,1,9,10,,8.0,,4,2,2,1,10,10,,0.0,1,,1,1,,,,,,
