experiment,convo,thread,thread_type,treatment,round_,choice,min_time
1033deae-3eb0-476f-a474-3b19906381dd,00569d74-f7d7-446a-8f67-b859ac32f2d5,64bb20e4-1fc0-4084-94c7-cf37a68a670b,GPTThread,10,1,1,1688965148
1033deae-3eb0-476f-a474-3b19906381dd,00569d74-f7d7-446a-8f67-b859ac32f2d5,64bb20e4-1fc0-4084-94c7-cf37a68a670b,GPTThread,10,2,1,1688965148
1033deae-3eb0-476f-a474-3b19906381dd,00569d74-f7d7-446a-8f67-b859ac32f2d5,64bb20e4-1fc0-4084-94c7-cf37a68a670b,GPTThread,10,3,1,1688965148
1033deae-3eb0-476f-a474-3b19906381dd,00569d74-f7d7-446a-8f67-b859ac32f2d5,64bb20e4-1fc0-4084-94c7-cf37a68a670b,GPTThread,10,4,1,1688965148
1033deae-3eb0-476f-a474-3b19906381dd,00569d74-f7d7-446a-8f67-b859ac32f2d5,64bb20e4-1fc0-4084-94c7-cf37a68a670b,GPTThread,10,5,1,1688965148
1033deae-3eb0-476f-a474-3b19906381dd,00569d74-f7d7-446a-8f67-b859ac32f2d5,64bb20e4-1fc0-4084-94c7-cf37a68a670b,GPTThread,10,6,1,1688965148
1033deae-3eb0-476f-a474-3b19906381dd,00569d74-f7d7-446a-8f67-b859ac32f2d5,64bb20e4-1fc0-4084-94c7-cf37a68a670b,GPTThread,10,7,1,1688965148
1033deae-3eb0-476f-a474-3b19906381dd,00569d74-f7d7-446a-8f67-b859ac32f2d5,64bb20e4-1fc0-4084-94c7-cf37a68a670b,GPTThread,10,8,1,1688965148
1033deae-3eb0-476f-a474-3b19906381dd,00569d74-f7d7-446a-8f67-b859ac32f2d5,64bb20e4-1fc0-4084-94c7-cf37a68a670b,GPTThread,10,9,1,1688965148
1033deae-3eb0-476f-a474-3b19906381dd,00569d74-f7d7-446a-8f67-b859ac32f2d5,64bb20e4-1fc0-4084-94c7-cf37a68a670b,GPTThread,10,10,1,1688965148
1033deae-3eb0-476f-a474-3b19906381dd,00569d74-f7d7-446a-8f67-b859ac32f2d5,c0c47cbe-aa28-4932-ac60-45ad66d72bde,GPTThread,10,1,1,1688965150
1033deae-3eb0-476f-a474-3b19906381dd,00569d74-f7d7-446a-8f67-b859ac32f2d5,c0c47cbe-aa28-4932-ac60-45ad66d72bde,GPTThread,10,2,1,1688965150
1033deae-3eb0-476f-a474-3b19906381dd,00569d74-f7d7-446a-8f67-b859ac32f2d5,c0c47cbe-aa28-4932-ac60-45ad66d72bde,GPTThread,10,3,1,1688965150
1033deae-3eb0-476f-a474-3b19906381dd,00569d74-f7d7-446a-8f67-b859ac32f2d5,c0c47cbe-aa28-4932-ac60-45ad66d72bde,GPTThread,10,4,1,1688965150
1033deae-3eb0-476f-a474-3b19906381dd,00569d74-f7d7-446a-8f67-b859ac32f2d5,c0c47cbe-aa28-4932-ac60-45ad66d72bde,GPTThread,10,5,1,1688965150
1033deae-3eb0-476f-a474-3b19906381dd,00569d74-f7d7-446a-8f67-b859ac32f2d5,c0c47cbe-aa28-4932-ac60-45ad66d72bde,GPTThread,10,6,1,1688965150
1033deae-3eb0-476f-a474-3b19906381dd,00569d74-f7d7-446a-8f67-b859ac32f2d5,c0c47cbe-aa28-4932-ac60-45ad66d72bde,GPTThread,10,7,1,1688965150
